Factory_to_State,Shipment_Count,Average_Lead_Time,Min_Lead_Time,Max_Lead_Time
Lot's O' Nuts → Alabama,34,1295.2058823529412,906,1642
Lot's O' Nuts → Alberta,16,1273.875,909,1640
Lot's O' Nuts → Arizona,111,1306.1981981981983,904,1642
Lot's O' Nuts → Arkansas,31,1285.3548387096773,908,1642
Lot's O' Nuts → British Columbia,18,1273.7777777777778,906,1640
Lot's O' Nuts → California,1125,1316.9102222222223,904,1642
Lot's O' Nuts → Colorado,103,1347.5339805825242,904,1642
Lot's O' Nuts → Connecticut,47,1420.5531914893618,906,1641
Lot's O' Nuts → Delaware,43,1273.3023255813953,906,1641
Lot's O' Nuts → District of Columbia,8,1365.875,1274,1639
Lot's O' Nuts → Florida,209,1318.6076555023924,904,1642
Lot's O' Nuts → Georgia,110,1329.5636363636363,904,1642
Lot's O' Nuts → Idaho,14,1351.357142857143,908,1641
Lot's O' Nuts → Illinois,267,1319.9325842696628,906,1642
Lot's O' Nuts → Indiana,90,1366.7888888888888,907,1642
Lot's O' Nuts → Iowa,16,1479.0,1270,1641
Lot's O' Nuts → Kansas,15,1248.8666666666666,908,1639
Lot's O' Nuts → Kentucky,77,1325.4025974025974,904,1641
Lot's O' Nuts → Louisiana,24,1302.9583333333333,906,1639
Lot's O' Nuts → Maine,6,1213.5,908,1275
Lot's O' Nuts → Manitoba,2,1454.0,1271,1637
Lot's O' Nuts → Maryland,60,1370.6666666666667,908,1641
Lot's O' Nuts → Massachusetts,76,1292.1184210526317,906,1641
Lot's O' Nuts → Michigan,147,1303.0068027210884,906,1642
Lot's O' Nuts → Minnesota,43,1350.3953488372092,906,1642
Lot's O' Nuts → Mississippi,30,1297.6666666666667,906,1642
Lot's O' Nuts → Missouri,36,1364.8333333333333,907,1640
Lot's O' Nuts → Montana,8,1319.25,909,1639
Lot's O' Nuts → Nebraska,23,1336.1304347826087,905,1639
Lot's O' Nuts → Nevada,24,1243.25,904,1641
Lot's O' Nuts → New Brunswick,4,1273.25,908,1639
Lot's O' Nuts → New Hampshire,13,1272.4615384615386,906,1637
Lot's O' Nuts → New Jersey,65,1335.6615384615384,907,1642
Lot's O' Nuts → New Mexico,18,1456.9444444444443,909,1642
Lot's O' Nuts → New York,645,1330.5162790697675,904,1642
Lot's O' Nuts → Newfoundland and Labrador,6,1216.1666666666667,911,1642
Lot's O' Nuts → North Carolina,143,1314.1958041958042,907,1642
Lot's O' Nuts → North Dakota,5,1638.2,1637,1640
Lot's O' Nuts → Ohio,262,1334.1145038167938,904,1642
Lot's O' Nuts → Oklahoma,41,1282.6829268292684,909,1641
Lot's O' Nuts → Ontario,28,1246.2857142857142,906,1639
Lot's O' Nuts → Oregon,77,1245.1948051948052,906,1642
Lot's O' Nuts → Pennsylvania,331,1315.0634441087614,904,1642
Lot's O' Nuts → Prince Edward Island,6,1395.8333333333333,908,1640
Lot's O' Nuts → Quebec,24,1334.125,904,1642
Lot's O' Nuts → Rhode Island,30,1296.9,906,1640
Lot's O' Nuts → South Carolina,21,1290.2857142857142,904,1641
Lot's O' Nuts → South Dakota,9,1477.2222222222222,908,1641
Lot's O' Nuts → Tennessee,109,1390.9633027522937,906,1642
Lot's O' Nuts → Texas,569,1310.4604569420035,904,1642
Lot's O' Nuts → Utah,29,1236.0,906,1640
Lot's O' Nuts → Vermont,5,1492.4,1273,1640
Lot's O' Nuts → Virginia,109,1229.48623853211,905,1641
Lot's O' Nuts → Washington,269,1343.9628252788104,904,1642
Lot's O' Nuts → West Virginia,2,1637.0,1635,1639
Lot's O' Nuts → Wisconsin,58,1367.6379310344828,906,1641
Lot's O' Nuts → Wyoming,1,1274.0,1274,1274
Secret Factory → Alabama,3,1272.3333333333333,906,1639
Secret Factory → Alberta,2,1274.5,909,1640
Secret Factory → Arizona,5,1127.4,907,1641
Secret Factory → Arkansas,2,1456.5,1273,1640
Secret Factory → California,31,1308.2903225806451,904,1640
Secret Factory → Colorado,7,1376.5714285714287,1270,1639
Secret Factory → Connecticut,1,1638.0,1638,1638
Secret Factory → Delaware,1,909.0,909,909
Secret Factory → Florida,7,1482.142857142857,1271,1640
Secret Factory → Georgia,7,1377.857142857143,907,1639
Secret Factory → Illinois,13,1328.6923076923076,907,1641
Secret Factory → Indiana,4,1456.25,1274,1639
Secret Factory → Kentucky,2,1637.5,1637,1638
Secret Factory → Louisiana,2,908.5,908,909
Secret Factory → Maryland,3,1517.6666666666667,1274,1641
Secret Factory → Massachusetts,2,1455.0,1271,1639
Secret Factory → Michigan,5,1346.2,908,1640
Secret Factory → Minnesota,1,909.0,909,909
Secret Factory → Mississippi,1,908.0,908,908
Secret Factory → Nebraska,1,906.0,906,906
Secret Factory → Nevada,2,1091.0,906,1276
Secret Factory → New Hampshire,1,1641.0,1641,1641
Secret Factory → New Jersey,2,1274.5,1273,1276
Secret Factory → New Mexico,2,906.0,904,908
Secret Factory → New York,24,1379.625,905,1641
Secret Factory → North Carolina,4,1548.0,1276,1642
Secret Factory → Ohio,13,1301.2307692307693,906,1639
Secret Factory → Oregon,2,1271.5,1271,1272
Secret Factory → Pennsylvania,19,1311.3684210526317,906,1640
Secret Factory → Quebec,2,1273.5,908,1639
Secret Factory → Rhode Island,3,1394.3333333333333,1271,1637
Secret Factory → South Carolina,1,909.0,909,909
Secret Factory → Tennessee,3,1395.3333333333333,1273,1640
Secret Factory → Texas,16,1227.0625,905,1641
Secret Factory → Utah,1,1275.0,1275,1275
Secret Factory → Vermont,1,1273.0,1273,1273
Secret Factory → Virginia,5,1053.4,906,1274
Secret Factory → Washington,11,1472.3636363636363,1270,1641
Secret Factory → Wisconsin,5,1346.4,1272,1639
Sugar Shack → Arizona,1,1274.0,1274,1274
Sugar Shack → California,1,1638.0,1638,1638
Sugar Shack → Connecticut,1,1641.0,1641,1641
Sugar Shack → Delaware,1,910.0,910,910
Sugar Shack → Florida,3,1031.0,909,1275
Sugar Shack → Illinois,2,1089.0,907,1271
Sugar Shack → Michigan,3,1395.0,1272,1640
Sugar Shack → New Jersey,1,1642.0,1642,1642
Sugar Shack → New York,9,1314.111111111111,908,1640
Sugar Shack → Ohio,2,1637.5,1635,1640
Sugar Shack → Pennsylvania,3,1396.3333333333333,1274,1640
Sugar Shack → Rhode Island,1,1273.0,1273,1273
Sugar Shack → Tennessee,1,1272.0,1272,1272
Sugar Shack → Texas,3,1395.3333333333333,1272,1641
Sugar Shack → Washington,1,1638.0,1638,1638
The Other Factory → Alabama,2,1457.0,1275,1639
The Other Factory → Arizona,2,1271.5,1271,1272
The Other Factory → California,21,1325.0,908,1640
The Other Factory → Colorado,2,1273.5,1272,1275
The Other Factory → Connecticut,2,907.5,906,909
The Other Factory → Delaware,2,1456.5,1272,1641
The Other Factory → Florida,3,1029.3333333333333,906,1275
The Other Factory → Georgia,2,1456.0,1273,1639
The Other Factory → Indiana,1,1274.0,1274,1274
The Other Factory → Kentucky,2,1271.0,904,1638
