State/Province,Total Shipments
California,2001
New York,1128
Texas,985
Pennsylvania,587
Washington,506
Illinois,492
Ohio,469
Florida,383
Michigan,255
North Carolina,249
Arizona,224
Virginia,224
Georgia,184
Tennessee,183
Colorado,182
Indiana,149
Kentucky,139
Massachusetts,135
New Jersey,130
Oregon,124
Wisconsin,110
Maryland,105
Delaware,96
Minnesota,89
Connecticut,82
Oklahoma,66
Missouri,66
Alabama,61
Arkansas,60
Ontario,58
Rhode Island,56
Utah,53
Mississippi,53
Quebec,50
South Carolina,42
Louisiana,42
Nevada,39
Nebraska,38
New Mexico,37
Iowa,30
New Hampshire,27
Alberta,26
Kansas,24
British Columbia,22
Idaho,21
Montana,15
Manitoba,12
South Dakota,12
Vermont,11
Prince Edward Island,10
District of Columbia,10
Maine,8
New Brunswick,8
North Dakota,7
Nova Scotia,6
Newfoundland and Labrador,6
West Virginia,4
Saskatchewan,2
Wyoming,1
