Factory_to_State,Shipment_Count,Average_Lead_Time,Minimum_Lead_Time,Maximum_Lead_Time
Sugar Shack → New Jersey,1,1642.0,1642,1642
Secret Factory → New Hampshire,1,1641.0,1641,1641
Sugar Shack → Connecticut,1,1641.0,1641,1641
Wicked Choccy's → West Virginia,2,1639.0,1639,1639
Lot's O' Nuts → North Dakota,5,1638.2,1637,1640
Sugar Shack → California,1,1638.0,1638,1638
The Other Factory → Nevada,1,1638.0,1638,1638
Sugar Shack → Washington,1,1638.0,1638,1638
Secret Factory → Connecticut,1,1638.0,1638,1638
Sugar Shack → Ohio,2,1637.5,1635,1640
